2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:14 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:14 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 02:58:49 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 03:10:25 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : FAILURE ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 03:10:25 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : or0veeffd1fy0afxtuzsjnlt ; 
2017-09-07 03:16:56 => UserID : 34502 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : Submit - check user exist - ENTRY ; SessionId : wt5zwzsujaue35tmlomtljdw ; 
2017-09-07 03:16:56 => UserID : 34502 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user exist - EXIST ; SessionId : wt5zwzsujaue35tmlomtljdw ; 
2017-09-07 03:16:56 => UserID : 34502 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - ENTRY ; SessionId : wt5zwzsujaue35tmlomtljdw ; 
