2017-09-13 10:37:49 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:37:50 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:39:08 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:39:26 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:39:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:40:27 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:40:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:40:30 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:40:31 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:40:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:40:55 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:41:22 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:41:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:41:41 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:42:04 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:42:11 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:43:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:45:05 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:45:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:45:25 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:49:12 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:49:25 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
