2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:33 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:34 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:38 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:38 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:39 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : Reset Password page load ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : STARTED ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:53 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : SUCCESS ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:03:53 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:04:03 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:04:05 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Resolved SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:04:06 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : Reset Password page load ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:20 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:21 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:21 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:24 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:24 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:25 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:29 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account locked ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : Submit - check user exist - ENTRY ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user exist - EXIST ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - ENTRY ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - LOCKED ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user registered - ENTRY ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user registered - REGISTERED ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - ENTRY ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:35 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user OTP enabled - OTP ENABLED - for both user and application level , now redirecting to AccountUnlockAuthType ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:36 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_AuthType ; TrStatus : Page load ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:38 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_AuthSecQue ; TrStatus : Page load , now redirecting to AccountUnlockQuestions ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:43 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : SUBMIT ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:43 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Account Unlocked ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:07:43 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:08:15 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 01:08:17 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Resolved SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:25:02 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:25:02 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:25:02 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:25:02 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:25:54 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:26:50 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Resolved SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:29:48 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 02:29:48 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
