2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:38 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:38 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:43 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:47 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:36:49 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:37:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:48:24 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : FAILURE ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:48:25 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : o4ry51janzmrzbworbb3bltl ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
