2017-07-31 10:28:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:28:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:30:38 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:30:38 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : FAILURE ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:30:38 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : 4apmctav3o14i03cxznhu5qo ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:23 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:24 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:28 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:31:32 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
