2017-09-08 02:36:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:36:34 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:37:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:39:15 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:44:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 02:45:15 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yxubgv0zcofvrg5wosbsxi5k ; 
2017-09-08 03:33:40 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : vsh30c5a1edsy21zjg0vuuco ; 
2017-09-08 03:33:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : vsh30c5a1edsy21zjg0vuuco ; 
2017-09-08 03:33:49 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vsh30c5a1edsy21zjg0vuuco ; 
2017-09-08 03:34:34 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vsh30c5a1edsy21zjg0vuuco ; 
2017-09-08 03:34:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vsh30c5a1edsy21zjg0vuuco ; 
